04/12/2015;2089.63
07/12/2015;2076.83
08/12/2015;2062.82
09/12/2015;2048.99
10/12/2015;2053.76
11/12/2015;2012.41
14/12/2015;2020.47
15/12/2015;2043.61
16/12/2015;2071.6
17/12/2015;2040.39
18/12/2015;2007.45
21/12/2015;2021.66
22/12/2015;2038.56
23/12/2015;2062.33
24/12/2015;2061.71
28/12/2015;2056.1
29/12/2015;2077.78
30/12/2015;2063.97
31/12/2015;2046.35
04/01/2016;2013.99
05/01/2016;2017.32
06/01/2016;1991.24
07/01/2016;1941.53
08/01/2016;1925.18
11/01/2016;1920.71
12/01/2016;1937.79
13/01/2016;1891.49
14/01/2016;1919.13
15/01/2016;1883.24
19/01/2016;1882.44
20/01/2016;1860.44
21/01/2016;1867.51
22/01/2016;1906.76
25/01/2016;1877.01
26/01/2016;1902.15
27/01/2016;1885.57
28/01/2016;1890.03
29/01/2016;1939.09
01/02/2016;1940.56
02/02/2016;1902.28
03/02/2016;1912.38
04/02/2016;1914.14
05/02/2016;1881.45
08/02/2016;1855.51
09/02/2016;1853.38
10/02/2016;1852.52
11/02/2016;1829.07
12/02/2016;1864.38
16/02/2016;1895.53
17/02/2016;1926.05
18/02/2016;1919.99
19/02/2016;1917.74
22/02/2016;1942.86
23/02/2016;1920.34
24/02/2016;1928.43
25/02/2016;1950.92
26/02/2016;1946.56
29/02/2016;1932.59
01/03/2016;1974.53
02/03/2016;1984.66
03/03/2016;1993.8
04/03/2016;1998.84
07/03/2016;2000.75
08/03/2016;1979.96
09/03/2016;1988.52
10/03/2016;1989.74
11/03/2016;2020.22
14/03/2016;2018.31
15/03/2016;2014.09
16/03/2016;2024.84
17/03/2016;2038.61
18/03/2016;2048.12
21/03/2016;2050.56
22/03/2016;2047.26
23/03/2016;2036.76
24/03/2016;2034.77
28/03/2016;2036.77
29/03/2016;2053.63
30/03/2016;2063.75
31/03/2016;2059.19
01/04/2016;2069.89
04/04/2016;2064.91
05/04/2016;2045.07
06/04/2016;2065.45
07/04/2016;2043.21
08/04/2016;2048.14
11/04/2016;2042.64
12/04/2016;2059.13
13/04/2016;2081.4
